Time,VehicleID,MsgCount,TemporaryID,Latitude,Longitude,Elevation,PositionalAccuracy,Speed,Heading,TransmissionState,BrakeStatus,VehicleLength,VehicleWidth,IntersectionID,SignalGroup,State,TimeRemaining,Phase,Direction,HardBraking,NEWS_Score,Speed_Normalized
2,1,0,36515,39.16293924,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,38,NS_Green,North,0,0,1
2.5,1,0,36515,39.16287668,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,37.5,NS_Green,North,0,0,1
3,1,0,36515,39.16281411,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,37,NS_Green,North,0,0,1
3.5,1,0,36515,39.16275155,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,36.5,NS_Green,North,0,0,1
4,1,0,36515,39.16268899,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,36,NS_Green,North,0,0,1
4.5,1,0,36515,39.16262643,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,35.5,NS_Green,North,0,0,1
5,1,0,36515,39.16256386,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,35,NS_Green,North,0,0,1
5.5,1,0,36515,39.1625013,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,34.5,NS_Green,North,0,0,1
6,1,0,36515,39.16243874,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,34,NS_Green,North,0,0,1
6.5,1,0,36515,39.16237618,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,33.5,NS_Green,North,0,0,1
6.5,2,0,63478,39.1629505,-84.5197,300,1.5,11.39,180,2,0,4.5,1.8,1,NS,1,33.5,NS_Green,North,0,0,0.820014398848092
7,1,0,36515,39.16231361,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,33,NS_Green,North,0,0,1
7,2,0,63478,39.16291046,-84.5197,300,1.5,8.89,180,2,1,4.5,1.8,1,NS,1,33,NS_Green,North,0,4,0.640028797696184
7.5,1,0,36515,39.16225105,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,32.5,NS_Green,North,0,0,1
7.5,2,0,63478,39.16288168,-84.5197,300,1.5,6.39,180,2,1,4.5,1.8,1,NS,1,32.5,NS_Green,North,0,4,0.460043196544276
8,1,0,36515,39.16218849,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,32,NS_Green,North,0,0,1
8,2,0,63478,39.16286416,-84.5197,300,1.5,3.89,180,2,1,4.5,1.8,1,NS,1,32,NS_Green,North,0,4,0.280057595392369
8.5,1,0,36515,39.16212593,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,31.5,NS_Green,North,0,0,1
8.5,2,0,63478,39.1628529,-84.5197,300,1.5,2.5,180,2,1,4.5,1.8,1,NS,1,31.5,NS_Green,North,0,4,0.179985601151908
9,1,0,36515,39.16206336,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,31,NS_Green,North,0,0,1
9,2,0,63478,39.1628452,-84.5197,300,1.5,1.71,180,2,1,4.5,1.8,1,NS,1,31,NS_Green,North,0,4,0.123110151187905
9.5,1,0,36515,39.1620008,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,30.5,NS_Green,North,0,0,1
9.5,2,0,63478,39.16284132,-84.5197,300,1.5,0.86,180,2,1,4.5,1.8,1,NS,1,30.5,NS_Green,North,0,4,0.0619150467962563
10,1,0,36515,39.16193824,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,30,NS_Green,North,0,0,1
10,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,30,NS_Green,North,0,4,0
10.5,1,0,36515,39.16187568,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,29.5,NS_Green,North,0,0,1
10.5,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,29.5,NS_Green,North,0,4,0
11,1,0,36515,39.16181311,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,29,NS_Green,South,0,0,1
11,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,29,NS_Green,North,0,4,0
11.5,1,0,36515,39.16175055,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,28.5,NS_Green,South,0,0,1
11.5,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,28.5,NS_Green,North,0,4,0
12,1,0,36515,39.16168799,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,28,NS_Green,South,0,0,1
12,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,28,NS_Green,North,0,4,0
12.5,1,0,36515,39.16162543,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,27.5,NS_Green,South,0,0,1
12.5,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,27.5,NS_Green,North,0,4,0
13,1,0,36515,39.16156286,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,27,NS_Green,South,0,0,1
13,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,27,NS_Green,North,0,4,0
13.5,1,0,36515,39.1615003,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,26.5,NS_Green,South,0,0,1
13.5,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,26.5,NS_Green,North,0,4,0
14,1,0,36515,39.16143774,-84.5197,300,1.5,13.89,180,2,0,4.5,1.8,1,NS,1,26,NS_Green,South,0,0,1
14,2,0,63478,39.16284132,-84.5197,300,1.5,0,180,1,1,4.5,1.8,1,NS,1,26,NS_Green,North,0,4,0
