Time,VehicleID,Speed,BrakeStatus,Phase,Direction,HardBraking,NEWS_Score,Speed_Normalized
1970-01-01 00:00:00.000000002,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000002,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000003,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000003,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000004,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000004,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000005,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000005,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000006,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000006,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000006,2,11.39,0,NS_Green,North,0,0,0.8200143988480921
1970-01-01 00:00:00.000000007,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000007,2,8.89,1,NS_Green,North,0,4,0.6400287976961844
1970-01-01 00:00:00.000000007,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000007,2,6.39,1,NS_Green,North,0,4,0.4600431965442764
1970-01-01 00:00:00.000000008,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000008,2,3.89,1,NS_Green,North,0,4,0.28005759539236863
1970-01-01 00:00:00.000000008,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000008,2,2.5,1,NS_Green,North,0,4,0.17998560115190784
1970-01-01 00:00:00.000000009,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000009,2,1.71,1,NS_Green,North,0,4,0.12311015118790496
1970-01-01 00:00:00.000000009,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000009,2,0.86,1,NS_Green,North,0,4,0.0619150467962563
1970-01-01 00:00:00.000000010,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000010,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000010,1,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000010,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000011,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000011,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000011,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000011,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000012,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000012,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000012,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000012,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000013,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000013,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000013,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000013,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000014,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000014,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000014,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000014,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000015,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000015,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000015,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000015,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000016,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000016,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000016,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000016,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000017,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000017,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000017,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000017,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000018,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000018,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000018,1,13.89,0,NS_Green,South,0,0,1.0
1970-01-01 00:00:00.000000018,2,0.0,1,NS_Green,North,0,4,0.0
1970-01-01 00:00:00.000000019,2,1.5,1,NS_Green,North,0,4,0.1079913606911447
1970-01-01 00:00:00.000000019,2,3.0,1,NS_Green,North,0,4,0.2159827213822894
1970-01-01 00:00:00.000000020,2,4.5,1,NS_Green,North,0,4,0.3239740820734341
1970-01-01 00:00:00.000000020,2,6.0,1,NS_Green,North,0,4,0.4319654427645788
1970-01-01 00:00:00.000000021,2,7.5,1,NS_Green,North,0,4,0.5399568034557235
1970-01-01 00:00:00.000000021,2,9.0,1,NS_Green,North,0,4,0.6479481641468682
1970-01-01 00:00:00.000000022,2,10.5,0,NS_Green,North,0,0,0.755939524838013
1970-01-01 00:00:00.000000022,2,12.0,0,NS_Green,North,0,0,0.8639308855291576
1970-01-01 00:00:00.000000023,2,13.5,0,NS_Green,North,0,0,0.9719222462203023
1970-01-01 00:00:00.000000023,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000023,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000024,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000024,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000024,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000024,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000025,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000025,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000025,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000025,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000026,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000026,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000026,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000026,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000027,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000027,3,12.5,0,NS_Green,East,0,0,0.8999280057595392
1970-01-01 00:00:00.000000027,4,10.0,0,NS_Green,East,0,0,0.7199424046076314
1970-01-01 00:00:00.000000027,2,13.89,0,NS_Green,North,0,0,1.0
1970-01-01 00:00:00.000000027,3,12.5,0,NS_Green,South,0,0,0.8999280057595392
